Name,Purpose,Quantity,Total Cost (USD),Link,Distributor
"locknut","secures the screen in place with M2 bolts",1,4.88,"https://www.aliexpress.com/item/32963044301.html","Aliexpress"
"PCB + PCBA","PCB with PCBA",2,73.27,"https://jlcpcb.com","jlcpcb"
"E-Paper, 2.13""","Screen to see my name",1,12.44,"https://www.aliexpress.com/item/1005005183232092.html","Aliexpress"
